,white_king_file,white_king_rank,white_rook_file,white_rook_rank,black_king_file,black_king_rank,result
0,c,1,g,6,a,6,fourteen
1,c,2,d,5,g,7,twelve
2,d,1,g,3,b,1,four
3,b,2,d,7,g,5,fourteen
4,a,1,d,3,f,1,ten
5,d,1,g,5,a,4,ten
6,d,1,d,5,f,7,fourteen
7,b,1,f,8,h,4,twelve
8,a,1,h,3,h,4,draw
9,a,1,a,7,f,1,eleven
10,c,2,b,2,d,4,fourteen
11,d,1,h,6,c,4,fourteen
12,d,4,c,8,h,3,nine
13,d,3,d,4,h,8,ten
14,c,2,g,3,g,8,thirteen
15,b,1,g,5,e,8,fourteen
16,b,1,e,5,g,6,fourteen
17,d,2,b,2,f,6,thirteen
18,d,4,a,2,c,1,six
19,d,3,f,4,a,7,nine
20,d,1,a,1,c,7,fourteen
21,d,3,c,4,g,4,eleven
22,d,1,b,3,d,3,fifteen
23,d,1,d,2,b,4,twelve
24,d,1,e,5,c,3,fourteen
25,d,1,c,2,e,7,fourteen
26,b,2,c,2,g,6,fourteen
27,c,1,c,2,a,5,ten
28,c,2,c,8,e,5,fourteen
29,d,1,f,6,b,6,fifteen
30,c,2,b,2,e,5,fourteen
31,d,2,b,5,g,6,twelve
32,d,1,g,3,d,8,fourteen
33,d,3,g,5,h,8,six
34,a,1,g,8,f,3,sixteen
35,b,1,c,1,f,1,ten
36,d,3,d,4,h,6,eleven
37,d,2,d,7,g,3,thirteen
38,b,1,e,1,c,5,fourteen
39,d,3,b,7,d,1,two
40,c,1,a,5,a,1,zero
41,c,2,f,6,d,4,fifteen
42,d,1,g,6,f,7,draw
43,d,1,f,6,d,6,fifteen
44,d,3,f,5,h,3,nine
45,c,3,d,4,e,4,twelve
46,d,3,b,3,f,6,twelve
47,c,2,d,7,g,3,thirteen
48,c,1,d,5,e,1,twelve
49,b,1,b,5,d,5,fifteen
50,c,1,f,8,b,5,thirteen
51,d,1,a,8,e,6,fourteen
52,d,3,f,8,a,3,seven
53,d,1,c,3,c,8,fourteen
54,d,3,e,1,a,3,seven
55,d,3,a,7,b,5,eleven
56,c,2,f,6,a,5,thirteen
57,b,1,d,3,c,5,twelve
58,c,2,b,3,h,7,twelve
59,d,3,f,8,g,1,seven
60,d,4,d,1,e,2,draw
61,b,2,f,4,h,4,twelve
62,c,1,d,3,e,2,draw
63,d,1,e,1,c,4,fourteen
64,d,3,d,6,g,3,nine
65,c,1,f,5,g,1,nine
66,d,1,g,4,g,5,draw
67,d,2,b,4,h,2,six
68,c,1,b,7,g,1,nine
69,c,3,h,1,e,3,twelve
70,c,2,h,2,a,5,twelve
71,c,3,d,5,e,2,ten
72,d,3,g,7,e,6,thirteen
73,c,1,d,7,h,5,fourteen
74,c,1,g,5,f,2,fourteen
75,b,2,c,8,h,1,nine
76,d,2,b,3,c,6,thirteen
77,b,2,h,5,h,4,draw
78,b,2,a,5,h,2,eleven
79,d,1,e,3,f,4,draw
80,d,1,e,3,g,6,twelve
81,d,1,h,8,h,4,twelve
82,b,2,g,6,h,3,ten
83,b,2,g,1,d,3,fourteen
84,c,1,d,7,h,6,fourteen
85,c,3,e,1,c,1,zero
86,d,3,a,6,f,5,twelve
87,a,1,d,2,h,5,fourteen
88,d,2,c,6,f,4,fourteen
89,a,1,h,5,h,1,thirteen
90,a,1,f,8,g,2,twelve
91,c,3,d,3,a,1,three
92,d,2,e,5,a,2,five
93,d,1,b,4,a,4,draw
94,d,2,e,6,d,6,draw
95,c,2,e,5,g,7,twelve
96,d,3,a,2,d,6,twelve
97,b,1,c,5,b,5,draw
98,d,3,c,7,a,3,nine
99,c,1,a,8,d,6,fourteen
100,d,3,h,3,e,5,twelve
101,c,1,a,1,g,5,fourteen
102,d,1,c,3,e,5,fourteen
103,b,1,d,5,h,8,thirteen
104,b,1,b,6,h,5,fourteen
105,c,2,e,7,h,6,twelve
106,c,2,e,2,e,7,twelve
107,d,1,e,1,h,8,eleven
108,b,2,c,5,e,1,ten
109,c,2,d,2,b,4,eleven
110,d,3,d,2,b,7,eight
111,c,1,b,6,b,4,fifteen
112,d,1,g,6,h,8,nine
113,b,1,h,6,g,3,fifteen
114,d,3,g,7,d,6,thirteen
115,b,2,a,8,e,4,fourteen
116,d,2,g,8,c,7,thirteen
117,c,1,h,4,a,1,two
118,d,2,d,8,h,3,ten
119,b,1,b,6,h,6,fourteen
120,d,3,h,8,a,4,ten
121,c,3,g,2,h,2,draw
122,c,3,b,5,f,3,eleven
123,c,2,b,4,e,1,eight
124,b,2,b,6,e,2,twelve
125,d,4,a,1,g,2,ten
126,c,2,b,7,g,3,twelve
127,b,1,d,2,h,3,fourteen
128,b,1,b,2,f,2,twelve
129,d,1,b,3,b,4,draw
130,c,1,c,3,b,6,ten
131,b,2,h,1,f,2,thirteen
132,d,1,b,3,d,6,fourteen
133,d,3,b,1,g,8,eleven
134,c,3,a,1,f,1,ten
135,d,3,e,8,h,1,six
136,d,3,d,4,h,1,six
137,d,2,c,1,b,8,nine
138,d,3,h,7,a,5,eleven
139,d,1,f,1,b,8,fourteen
140,c,2,a,2,h,7,thirteen
141,b,1,f,8,a,8,thirteen
142,d,4,b,4,h,7,nine
143,c,2,a,5,b,8,twelve
144,c,1,b,5,a,3,eight
145,d,1,g,7,h,6,draw
146,c,2,f,6,h,8,eleven
147,d,1,e,2,d,8,thirteen
148,c,1,c,8,h,4,twelve
149,b,1,c,1,h,2,eleven
150,c,2,f,5,d,8,thirteen
151,b,1,c,4,f,8,fourteen
152,d,3,b,7,g,1,eight
153,c,1,c,5,h,6,thirteen
154,c,2,c,6,a,3,nine
155,c,1,f,8,h,8,eleven
156,b,2,g,7,d,3,fifteen
157,d,3,g,7,f,1,eight
158,d,1,a,4,h,3,six
159,b,2,b,6,g,5,fourteen
160,c,1,g,5,c,6,thirteen
161,d,1,c,7,b,2,eleven
162,d,3,b,4,g,5,eleven
163,d,1,a,2,c,3,fourteen
164,c,1,a,8,b,8,draw
165,d,1,g,5,a,1,five
166,d,2,f,1,b,5,thirteen
167,a,1,c,6,c,1,fourteen
168,d,3,e,2,f,8,ten
169,d,3,a,8,g,2,eight
170,c,2,g,3,e,2,eight
171,a,1,g,2,f,1,draw
172,a,1,f,3,g,5,fourteen
173,c,1,e,6,c,8,thirteen
174,c,1,e,7,g,2,thirteen
175,c,1,e,8,f,5,thirteen
176,d,3,e,6,b,8,ten
177,c,2,g,8,c,5,thirteen
178,d,1,f,8,c,5,fifteen
179,b,1,d,1,d,6,fifteen
180,a,1,c,3,g,2,nine
181,d,3,h,7,h,2,nine
182,c,2,d,3,b,7,ten
183,d,3,e,2,h,1,five
184,d,4,c,4,g,2,eight
185,a,1,b,2,f,3,sixteen
186,d,1,a,4,g,6,fourteen
187,d,3,d,4,h,2,six
188,a,1,a,5,e,4,fourteen
189,d,2,g,1,b,6,thirteen
190,b,1,e,6,c,8,fourteen
191,d,3,e,6,a,3,seven
192,b,1,d,2,d,6,fifteen
193,b,1,g,6,f,1,twelve
194,d,2,g,4,b,7,eleven
195,b,1,f,7,d,3,fifteen
196,c,3,e,1,f,4,eleven
197,c,1,g,3,f,7,fourteen
198,d,2,b,5,h,2,eight
199,c,1,g,4,a,4,thirteen
200,c,1,h,6,f,3,fourteen
201,c,3,b,8,b,1,three
202,b,2,e,7,g,2,thirteen
203,d,3,d,2,h,8,eleven
204,d,1,b,5,e,5,fourteen
205,a,1,c,4,d,2,thirteen
206,a,1,c,4,h,6,fifteen
207,d,2,b,3,f,4,thirteen
208,c,2,b,1,f,8,thirteen
209,b,2,h,2,g,4,fourteen
210,c,2,d,6,g,5,thirteen
211,d,1,c,3,g,3,fourteen
212,b,2,c,6,e,2,fifteen
213,c,3,a,8,e,3,twelve
214,b,1,c,7,c,5,sixteen
215,b,2,g,7,f,1,twelve
216,d,1,b,3,b,5,fifteen
217,c,1,e,3,h,8,twelve
218,c,1,h,8,f,1,ten
219,b,2,a,3,d,1,nine
220,d,1,h,5,h,4,draw
221,d,2,g,5,g,8,twelve
222,a,1,d,3,g,3,fifteen
223,b,1,f,5,g,5,draw
224,c,2,h,3,f,6,thirteen
225,c,3,c,8,e,1,ten
226,d,3,a,4,g,4,eleven
227,c,2,f,1,c,8,thirteen
228,d,3,b,3,a,1,two
229,c,2,c,8,f,8,thirteen
230,d,2,g,2,g,5,thirteen
231,d,2,h,6,b,4,thirteen
232,b,2,e,8,h,6,thirteen
233,d,3,c,4,c,1,five
234,d,2,d,8,a,3,eleven
235,c,1,c,7,h,6,fifteen
236,c,3,e,5,b,1,two
237,c,1,e,1,g,3,thirteen
238,a,1,g,6,c,2,fourteen
239,b,1,h,1,a,7,eleven
240,d,1,e,5,g,6,thirteen
241,d,2,a,8,h,1,six
242,d,4,b,7,h,4,nine
243,c,2,b,8,d,6,fourteen
244,a,1,e,1,g,2,fourteen
245,c,1,g,8,c,8,fourteen
246,c,3,f,3,h,1,eight
247,b,1,h,7,f,2,thirteen
248,b,1,e,2,c,5,fourteen
249,d,1,f,4,d,4,fifteen
250,d,2,f,4,h,2,six
251,c,1,b,3,e,1,eight
252,d,2,f,5,g,1,seven
253,c,2,c,3,b,5,nine
254,a,1,d,7,e,2,fifteen
255,d,1,b,3,g,5,fourteen
256,c,2,f,1,c,6,thirteen
257,d,3,a,8,a,5,ten
258,d,4,d,2,g,2,eleven
259,b,2,h,6,g,3,fourteen
260,d,2,e,6,a,2,five
261,b,1,f,3,b,3,fifteen
262,d,3,a,1,g,3,nine
263,b,2,h,8,f,1,twelve
264,c,1,f,4,f,3,draw
265,d,1,a,8,c,6,fourteen
266,c,1,c,5,b,7,eleven
267,d,3,b,4,h,6,eleven
268,d,3,h,8,e,5,twelve
