,white_king_edge_dist,white_rook_edge_dist,black_king_edge_dist,white_king_in_corner,white_rook_in_corner,black_king_in_corner,wking_wrook_dist_x,wking_wrook_dist_y,wking_bking_dist_x,wking_bking_dist_y,wrook_bking_dist_x,wrook_bking_dist_y,result
0,1,2,1,0,0,0,4,5,2,5,6,0,14
1,2,4,2,0,0,0,1,3,4,5,3,2,12
2,1,2,1,0,0,0,3,2,2,0,5,2,4
3,2,2,2,0,0,0,2,5,5,3,3,2,14
4,1,3,1,1,0,0,3,2,5,0,2,2,10
5,1,2,1,0,0,0,3,4,3,3,6,1,10
6,1,4,2,0,0,0,0,4,2,6,2,2,14
7,1,1,1,0,0,0,4,7,6,3,2,4,12
8,1,1,1,1,0,0,7,2,7,3,0,1,-1
9,1,1,1,1,0,0,0,6,5,0,5,6,11
10,2,2,4,0,0,0,1,0,1,2,2,2,14
11,1,1,3,0,0,0,4,5,1,3,5,2,14
12,4,1,1,0,0,0,1,4,4,1,5,5,9
13,3,4,1,0,0,1,0,1,4,5,4,4,10
14,2,2,1,0,0,0,4,1,4,6,0,5,13
15,1,2,1,0,0,0,5,4,3,7,2,3,14
16,1,4,2,0,0,0,3,4,5,5,2,1,14
17,2,2,3,0,0,0,2,0,2,4,4,4,13
18,4,1,1,0,0,0,3,2,1,3,2,1,6
19,3,3,1,0,0,0,2,1,3,4,5,3,9
20,1,1,2,0,1,0,3,0,1,6,2,6,14
21,3,3,2,0,0,0,1,1,3,1,4,0,11
22,1,2,3,0,0,0,2,2,0,2,2,0,15
23,1,2,2,0,0,0,0,1,2,3,2,2,12
24,1,4,3,0,0,0,1,4,1,2,2,2,14
25,1,2,2,0,0,0,1,1,1,6,2,5,14
26,2,2,2,0,0,0,1,0,5,4,4,4,14
27,1,2,1,0,0,0,0,1,2,4,2,3,10
28,2,1,4,0,0,0,0,6,2,3,2,3,14
29,1,3,2,0,0,0,2,5,2,5,4,0,15
30,2,2,4,0,0,0,1,0,2,3,3,3,14
31,2,2,2,0,0,0,2,3,3,4,5,1,12
32,1,2,1,0,0,0,3,2,0,7,3,5,14
33,3,2,1,0,0,1,3,2,4,5,1,3,6
34,1,1,3,1,0,0,6,7,5,2,1,5,16
35,1,1,1,0,0,0,1,0,4,0,3,0,10
36,3,4,1,0,0,0,0,1,4,3,4,2,11
37,2,2,2,0,0,0,0,5,3,1,3,4,13
38,1,1,3,0,0,0,3,0,1,4,2,4,14
39,3,2,1,0,0,0,2,4,0,2,2,6,2
40,1,1,1,0,0,1,2,4,2,0,0,4,0
41,2,3,4,0,0,0,3,4,1,2,2,2,15
42,1,2,2,0,0,0,3,5,2,6,1,1,-1
43,1,3,3,0,0,0,2,5,0,5,2,0,15
44,3,3,1,0,0,0,2,2,4,0,2,2,9
45,3,4,4,0,0,0,1,1,2,1,1,0,12
46,3,2,3,0,0,0,2,0,2,3,4,3,12
47,2,2,2,0,0,0,1,5,4,1,3,4,13
48,1,4,1,0,0,0,1,4,2,0,1,4,12
49,1,2,4,0,0,0,0,4,2,4,2,0,15
50,1,1,2,0,0,0,3,7,1,4,4,3,13
51,1,1,3,0,1,0,3,7,1,5,4,2,14
52,3,1,1,0,0,0,2,5,3,0,5,5,7
53,1,3,1,0,0,0,1,2,1,7,0,5,14
54,3,1,1,0,0,0,1,2,3,0,4,2,7
55,3,1,2,0,0,0,3,4,2,2,1,2,11
56,2,3,1,0,0,0,3,4,2,3,5,1,13
57,1,3,3,0,0,0,2,2,1,4,1,2,12
58,2,2,1,0,0,0,1,1,5,5,6,4,12
59,3,1,1,0,0,0,2,5,3,2,1,7,7
60,4,1,2,0,0,0,0,3,1,2,1,1,-1
61,2,3,1,0,0,0,4,2,6,2,2,0,12
62,1,3,2,0,0,0,1,2,2,1,1,1,-1
63,1,1,3,0,0,0,1,0,1,3,2,3,14
64,3,3,2,0,0,0,0,3,3,0,3,3,9
65,1,3,1,0,0,0,3,4,4,0,1,4,9
66,1,2,2,0,0,0,3,3,3,4,0,1,-1
67,2,2,1,0,0,0,2,2,4,0,6,2,6
68,1,2,1,0,0,0,1,6,4,0,5,6,9
69,3,1,3,0,1,0,5,2,2,0,3,2,12
70,2,1,1,0,0,0,5,0,2,3,7,3,12
71,3,4,2,0,0,0,1,2,2,1,1,3,10
72,3,2,3,0,0,0,3,4,1,3,2,1,13
73,1,2,1,0,0,0,1,6,5,4,4,2,14
74,1,2,2,0,0,0,4,4,3,1,1,3,14
75,2,1,1,0,0,1,1,6,6,1,5,7,9
76,2,2,3,0,0,0,2,1,1,4,1,3,13
77,2,1,1,0,0,0,6,3,6,2,0,1,-1
78,2,1,1,0,0,0,1,3,6,0,7,3,11
79,1,3,3,0,0,0,1,2,2,3,1,1,-1
80,1,3,2,0,0,0,1,2,3,5,2,3,12
81,1,1,1,0,1,0,4,7,4,3,0,4,12
82,2,2,1,0,0,0,5,4,6,1,1,3,10
83,2,1,3,0,0,0,5,1,2,1,3,2,14
84,1,2,1,0,0,0,1,6,5,5,4,1,14
85,3,1,1,0,0,0,2,2,0,2,2,0,0
86,3,1,3,0,0,0,3,3,2,2,5,1,12
87,1,2,1,1,0,0,3,1,7,4,4,3,14
88,2,3,3,0,0,0,1,4,2,2,3,2,14
89,1,1,1,1,0,1,7,4,7,0,0,4,13
90,1,1,2,1,0,0,5,7,6,1,1,6,12
91,3,3,1,0,0,1,1,0,2,2,3,2,3
92,2,4,1,0,0,0,1,3,3,0,4,3,5
93,1,2,1,0,0,0,2,3,3,3,1,0,-1
94,2,3,3,0,0,0,1,4,0,4,1,0,-1
95,2,4,2,0,0,0,2,3,4,5,2,2,12
96,3,1,3,0,0,0,3,1,0,3,3,4,12
97,1,3,2,0,0,0,1,4,0,4,1,0,-1
98,3,2,1,0,0,0,1,4,3,0,2,4,9
99,1,1,3,0,1,0,2,7,1,5,3,2,14
100,3,1,4,0,0,0,4,0,1,2,3,2,12
101,1,1,2,0,1,0,2,0,4,4,6,4,14
102,1,3,4,0,0,0,1,2,1,4,2,2,14
103,1,4,1,0,0,1,2,4,6,7,4,3,13
104,1,2,1,0,0,0,0,5,6,4,6,1,14
105,2,2,1,0,0,0,2,5,5,4,3,1,12
106,2,2,2,0,0,0,2,0,2,5,0,5,12
107,1,1,1,0,0,1,1,0,4,7,3,7,11
108,2,3,1,0,0,0,1,3,3,1,2,4,10
109,2,2,2,0,0,0,1,0,1,2,2,2,11
110,3,2,2,0,0,0,0,1,2,4,2,5,8
111,1,2,2,0,0,0,1,5,1,3,0,2,15
112,1,2,1,0,0,1,3,5,4,7,1,2,9
113,1,1,2,0,0,0,6,5,5,2,1,3,15
114,3,2,3,0,0,0,3,4,0,3,3,1,13
115,2,1,4,0,1,0,1,6,3,2,4,4,14
116,2,1,2,0,0,0,3,6,1,5,4,1,13
117,1,1,1,0,0,1,5,3,2,0,7,3,2
118,2,1,1,0,0,0,0,6,4,1,4,5,10
119,1,2,1,0,0,0,0,5,6,5,6,0,14
120,3,1,1,0,1,0,4,5,3,1,7,4,10
121,3,2,1,0,0,0,4,1,5,1,1,0,-1
122,3,2,3,0,0,0,1,2,3,0,4,2,11
123,2,2,1,0,0,0,1,2,2,1,3,3,8
124,2,2,2,0,0,0,0,4,3,0,3,4,12
125,4,1,2,0,1,0,3,3,3,2,6,1,10
126,2,2,2,0,0,0,1,5,4,1,5,4,12
127,1,2,1,0,0,0,2,1,6,2,4,1,14
128,1,2,2,0,0,0,0,1,4,1,4,0,12
129,1,2,2,0,0,0,2,2,2,3,0,1,-1
130,1,3,2,0,0,0,0,2,1,5,1,3,10
131,2,1,2,0,1,0,6,1,4,0,2,1,13
132,1,2,3,0,0,0,2,2,0,5,2,3,14
133,3,1,1,0,0,0,2,2,3,5,5,7,11
134,3,1,1,0,1,0,2,2,3,2,5,0,10
135,3,1,1,0,0,1,1,5,4,2,3,7,6
136,3,4,1,0,0,1,0,1,4,2,4,3,6
137,2,1,1,0,0,0,1,1,2,6,1,7,9
138,3,1,1,0,0,0,4,4,3,2,7,2,11
139,1,1,1,0,0,0,2,0,2,7,4,7,14
140,2,1,1,0,0,0,2,0,5,5,7,5,13
141,1,1,1,0,0,1,4,7,1,7,5,0,13
142,4,2,1,0,0,0,2,0,4,3,6,3,9
143,2,1,1,0,0,0,2,3,1,6,1,3,12
144,1,2,1,0,0,0,1,4,2,2,1,2,8
145,1,2,1,0,0,0,3,6,4,5,1,1,-1
146,2,3,1,0,0,1,3,4,5,6,2,2,11
147,1,2,1,0,0,0,1,1,0,7,1,6,13
148,1,1,1,0,0,0,0,7,5,3,5,4,12
149,1,1,1,0,0,0,1,0,6,1,5,1,11
150,2,3,1,0,0,0,3,3,1,6,2,3,13
151,1,3,1,0,0,0,1,3,4,7,3,4,14
152,3,2,1,0,0,0,2,4,3,2,5,6,8
153,1,3,1,0,0,0,0,4,5,5,5,1,13
154,2,3,1,0,0,0,0,4,2,1,2,3,9
155,1,1,1,0,0,1,3,7,5,7,2,0,11
156,2,2,3,0,0,0,5,5,2,1,3,4,15
157,3,2,1,0,0,0,3,4,2,2,1,6,8
158,1,1,1,0,0,0,3,3,4,2,7,1,6
159,2,2,2,0,0,0,0,4,5,3,5,1,14
160,1,2,3,0,0,0,4,4,0,5,4,1,13
161,1,2,2,0,0,0,1,6,2,1,1,5,11
162,3,2,2,0,0,0,2,1,3,2,5,1,11
163,1,1,3,0,0,0,3,1,1,2,2,1,14
164,1,1,1,0,1,0,2,7,1,7,1,0,-1
165,1,2,1,0,0,1,3,4,3,0,6,4,5
166,2,1,2,0,0,0,2,1,2,3,4,4,13
167,1,3,1,1,0,0,2,5,2,0,0,5,14
168,3,2,1,0,0,0,1,1,2,5,1,6,10
169,3,1,2,0,1,0,3,5,3,1,6,6,8
170,2,2,2,0,0,0,4,1,2,0,2,1,8
171,1,2,1,1,0,0,6,1,5,0,1,1,-1
172,1,3,2,1,0,0,5,2,6,4,1,2,14
173,1,3,1,0,0,0,2,5,0,7,2,2,13
174,1,2,2,0,0,0,2,6,4,1,2,5,13
175,1,1,3,0,0,0,2,7,3,4,1,3,13
176,3,3,1,0,0,0,1,3,2,5,3,2,10
177,2,1,3,0,0,0,4,6,0,3,4,3,13
178,1,1,3,0,0,0,2,7,1,4,3,3,15
179,1,1,3,0,0,0,2,0,2,5,0,5,15
180,1,3,2,1,0,0,2,2,6,1,4,1,9
181,3,1,1,0,0,0,4,4,4,1,0,5,9
182,2,3,2,0,0,0,1,1,1,5,2,4,10
183,3,2,1,0,0,1,1,1,4,2,3,1,5
184,4,3,2,0,0,0,1,0,3,2,4,2,8
185,1,2,3,1,0,0,1,1,5,2,4,1,16
186,1,1,2,0,0,0,3,3,3,5,6,2,14
187,3,4,1,0,0,0,0,1,4,1,4,2,6
188,1,1,4,1,0,0,0,4,4,3,4,1,14
189,2,1,2,0,0,0,3,1,2,4,5,5,13
190,1,3,1,0,0,0,3,5,1,7,2,2,14
191,3,3,1,0,0,0,1,3,3,0,4,3,7
192,1,2,3,0,0,0,2,1,2,5,0,4,15
193,1,2,1,0,0,0,5,5,4,0,1,5,12
194,2,2,2,0,0,0,3,2,2,5,5,3,11
195,1,2,3,0,0,0,4,6,2,2,2,4,15
196,3,1,3,0,0,0,2,2,3,1,1,3,11
197,1,2,2,0,0,0,4,2,3,6,1,4,14
198,2,2,1,0,0,0,2,3,4,0,6,3,8
199,1,2,1,0,0,0,4,3,2,3,6,0,13
200,1,1,3,0,0,0,5,5,3,2,2,3,14
201,3,1,1,0,0,0,1,5,1,2,0,7,3
